Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66194,2015,5,12,5.8,1.0,Y
IDCJAC0011,66194,2015,5,13,11.4,1.0,Y
IDCJAC0011,66194,2015,5,14,1.5,1.0,Y
IDCJAC0011,66194,2015,5,15,9.1,1.0,Y
IDCJAC0011,66194,2015,5,16,11.6,1.0,Y
IDCJAC0011,66194,2015,5,17,6.9,1.0,Y
IDCJAC0011,66194,2015,5,18,8.0,1.0,Y
IDCJAC0011,66194,2015,5,19,11.1,1.0,Y
IDCJAC0011,66194,2015,5,20,12.0,1.0,Y
IDCJAC0011,66194,2015,5,21,10.5,1.0,Y
IDCJAC0011,66194,2015,5,22,11.7,1.0,Y
IDCJAC0011,66194,2015,5,23,8.7,1.0,Y
IDCJAC0011,66194,2015,5,24,5.8,1.0,Y
IDCJAC0011,66194,2015,5,25,6.0,1.0,Y
IDCJAC0011,66194,2015,5,26,4.3,1.0,Y
IDCJAC0011,66194,2015,5,27,7.1,1.0,Y
IDCJAC0011,66194,2015,5,28,6.5,1.0,Y
IDCJAC0011,66194,2015,5,29,11.9,1.0,Y
IDCJAC0011,66194,2015,5,30,6.5,1.0,Y
IDCJAC0011,66194,2015,5,31,7.1,1.0,Y
IDCJAC0011,66194,2015,6,1,4.3,1.0,Y
IDCJAC0011,66194,2015,6,2,2.6,1.0,Y
IDCJAC0011,66194,2015,6,3,3.7,1.0,Y
IDCJAC0011,66194,2015,6,4,4.5,1.0,Y
IDCJAC0011,66194,2015,6,5,4.0,1.0,Y
IDCJAC0011,66194,2015,6,6,7.9,1.0,Y
IDCJAC0011,66194,2015,6,7,4.6,1.0,Y
IDCJAC0011,66194,2015,6,8,6.9,1.0,Y
IDCJAC0011,66194,2015,6,9,5.5,1.0,Y
IDCJAC0011,66194,2015,6,10,5.3,1.0,Y
IDCJAC0011,66194,2015,6,11,9.7,1.0,Y
IDCJAC0011,66194,2015,6,12,11.3,1.0,Y
IDCJAC0011,66194,2015,6,13,10.5,1.0,Y
IDCJAC0011,66194,2015,6,14,5.2,1.0,Y
