Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66037,2022,11,25,25.1,1,N
IDCJAC0010,66037,2022,11,26,22.8,1,N
IDCJAC0010,66037,2022,11,27,28.2,1,N
IDCJAC0010,66037,2022,11,28,23.3,1,N
IDCJAC0010,66037,2022,11,29,24.0,1,N
IDCJAC0010,66037,2022,11,30,21.8,1,N
IDCJAC0010,66037,2022,12,01,22.3,1,N
IDCJAC0010,66037,2022,12,02,22.9,1,N
IDCJAC0010,66037,2022,12,03,24.3,1,N
IDCJAC0010,66037,2022,12,04,26.1,1,N
IDCJAC0010,66037,2022,12,05,30.1,1,N
IDCJAC0010,66037,2022,12,06,23.2,1,N
IDCJAC0010,66037,2022,12,07,28.6,1,N
IDCJAC0010,66037,2022,12,08,21.9,1,N
IDCJAC0010,66037,2022,12,09,19.9,1,N
IDCJAC0010,66037,2022,12,10,22.3,1,N
IDCJAC0010,66037,2022,12,11,31.2,1,N
IDCJAC0010,66037,2022,12,12,32.4,1,N
IDCJAC0010,66037,2022,12,13,27.8,1,N
IDCJAC0010,66037,2022,12,14,24.8,1,N
IDCJAC0010,66037,2022,12,15,21.0,1,N
IDCJAC0010,66037,2022,12,16,18.8,1,N
IDCJAC0010,66037,2022,12,17,19.1,1,N
IDCJAC0010,66037,2022,12,18,18.8,1,N
IDCJAC0010,66037,2022,12,19,19.1,1,N
IDCJAC0010,66037,2022,12,20,20.9,1,N
IDCJAC0010,66037,2022,12,21,22.2,1,N
IDCJAC0010,66037,2022,12,22,24.3,1,N
IDCJAC0010,66037,2022,12,23,30.4,1,N
IDCJAC0010,66037,2022,12,24,30.9,1,N
IDCJAC0010,66037,2022,12,25,27.6,1,N
IDCJAC0010,66037,2022,12,26,30.0,1,N
IDCJAC0010,66037,2022,12,27,28.8,1,N
IDCJAC0010,66037,2022,12,28,28.9,1,N
IDCJAC0010,66037,2022,12,29,21.6,1,N
IDCJAC0010,66037,2022,12,30,25.5,1,N
IDCJAC0010,66037,2022,12,31,27.1,1,N
